yyyymmdd,CS,TYW,TC100,TC200,TC300,TC500,TC1000,NWPTY,FT,NE,SNE,SWF,SSWF,DS,AQIN,AQIC,AQIS,week-synoptic
19800612,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,9,9,1
19800613,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,9,9,1
19800614,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,9,9,1
19800615,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,9,9,1
19800616,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,9,9,1
19800617,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,9,9,1
19800618,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,9,9,1
19800619,0,0,0,0,0,0,0,1,0,0,0,0,0,9,9,9,9,1
19800620,0,0,0,0,0,0,0,1,0,0,0,0,0,9,9,9,9,1
19800621,0,0,0,0,0,0,0,1,0,0,0,0,0,9,9,9,9,1
19800622,0,0,0,0,0,0,0,1,0,0,0,0,0,9,9,9,9,1
19800623,0,0,0,0,0,0,0,1,0,0,0,0,0,9,9,9,9,1
19800624,0,0,0,0,0,0,0,1,0,0,0,0,0,9,9,9,9,1
19800625,0,0,0,0,0,0,0,1,0,0,0,0,0,9,9,9,9,1
19800626,0,0,0,0,0,0,0,1,0,0,0,0,0,9,9,9,9,1
19800627,0,0,0,0,0,0,0,1,0,0,0,1,1,9,9,9,9,0
19800628,0,0,0,0,0,0,0,1,0,0,0,0,0,9,9,9,9,1
19800629,0,0,0,0,0,0,0,1,0,0,0,0,0,9,9,9,9,1
19800630,0,0,0,0,0,0,1,1,0,0,0,0,0,9,9,9,9,0
19800701,0,0,0,0,0,0,1,1,0,0,0,0,0,9,9,9,9,0
19800702,0,0,0,0,0,1,1,1,0,0,0,1,0,9,9,9,9,0
19800703,0,0,0,0,0,1,1,1,0,0,0,1,0,9,9,9,9,0
19800704,0,0,0,0,0,0,0,0,0,0,0,1,1,9,9,9,9,0
19800705,0,0,0,0,0,0,0,1,0,0,0,1,1,9,9,9,9,0
19800706,0,0,0,0,0,0,0,1,0,0,0,1,0,9,9,9,9,0
19800707,0,0,0,0,0,0,0,1,0,0,0,1,0,9,9,9,9,0
19800708,0,1,0,0,0,0,1,1,0,0,0,0,0,9,9,9,9,0
19800709,0,1,0,1,1,1,1,1,0,0,0,0,0,9,9,9,9,0
19800710,0,1,0,1,1,1,1,1,0,0,0,1,1,9,9,9,9,0
19800711,0,1,0,0,1,1,1,1,0,0,0,1,1,9,9,9,9,0
19800712,0,0,0,0,0,1,1,1,0,0,0,1,1,9,9,9,9,0
19800713,0,0,0,0,0,0,1,1,0,0,0,1,1,9,9,9,9,0
19800714,0,0,0,0,0,0,0,1,0,0,0,1,1,9,9,9,9,0
19800715,0,0,0,0,0,0,1,1,0,0,0,0,0,9,9,9,9,0
19800716,0,0,0,0,0,0,1,1,0,0,0,0,0,9,9,9,9,0
19800717,0,0,0,0,0,0,1,1,0,0,0,0,0,9,9,9,9,0
19800718,0,0,0,0,0,0,1,1,0,0,0,1,1,9,9,9,9,0
19800719,0,0,0,0,0,0,1,1,0,0,0,1,1,9,9,9,9,0
19800720,0,0,0,0,0,0,1,1,0,0,0,0,0,9,9,9,9,0
19800721,0,0,0,0,0,1,1,1,0,0,0,0,0,9,9,9,9,0
19800722,0,0,0,0,0,0,1,1,0,0,0,0,0,9,9,9,9,0
19800723,0,0,0,0,0,0,0,1,0,0,0,0,0,9,9,9,9,1
19800724,0,0,0,0,0,0,1,1,0,0,0,0,0,9,9,9,9,0
19800725,0,1,0,0,0,1,1,1,0,0,0,0,0,9,9,9,9,0
19800726,0,1,0,0,0,1,1,1,0,0,0,1,1,9,9,9,9,0
19800727,0,1,0,0,0,1,1,1,0,0,0,1,1,9,9,9,9,0
19800728,0,0,0,0,0,0,0,1,0,0,0,1,1,9,9,9,9,0
19800729,0,0,0,0,0,0,0,1,0,0,0,1,1,9,9,9,9,0
19800730,0,0,0,0,0,0,0,1,0,0,0,1,1,9,9,9,9,0
19800731,0,0,0,0,0,0,0,1,0,0,0,1,1,9,9,9,9,0
19800801,0,0,0,0,0,0,0,1,0,0,0,1,0,9,9,9,9,0
19800802,0,0,0,0,0,0,0,1,0,0,0,1,1,9,9,9,9,0
19800803,0,0,0,0,0,0,0,1,0,0,0,1,1,9,9,9,9,0
19800804,0,0,0,0,0,0,0,1,1,0,0,1,1,9,9,9,9,0
19800805,0,0,0,0,0,0,0,1,0,0,0,1,1,9,9,9,9,0
19800806,0,0,0,0,0,0,0,1,0,0,0,1,1,9,9,9,9,0
19800807,0,0,0,0,0,0,0,1,0,0,0,1,0,9,9,9,9,0
19800808,0,0,0,0,0,0,0,1,1,0,0,1,0,9,9,9,9,0
19800809,0,0,0,0,0,0,0,1,1,0,0,1,0,9,9,9,9,0
19800810,0,0,0,0,0,0,0,1,0,0,0,1,0,9,9,9,9,0
19800811,0,0,0,0,0,0,0,1,0,0,0,1,0,9,9,9,9,0
19800812,0,0,0,0,0,0,0,1,0,0,0,1,0,9,9,9,9,0
19800813,0,0,0,0,0,0,0,1,0,0,0,1,0,9,9,9,9,0
19800814,0,0,0,0,0,0,1,1,0,0,0,1,0,9,9,9,9,0
19800815,0,0,0,0,0,0,1,1,0,0,0,0,0,9,9,9,9,0
19800816,0,0,0,0,0,0,1,1,0,0,0,0,0,9,9,9,9,0
19800817,0,0,0,0,0,0,1,1,0,0,0,0,0,9,9,9,9,0
19800818,0,0,0,0,0,0,1,1,0,0,0,1,1,9,9,9,9,0
19800819,0,0,0,0,0,0,0,1,0,0,0,1,1,9,9,9,9,0
19800820,0,0,0,0,0,0,0,1,0,0,0,0,0,9,9,9,9,1
19800821,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,9,9,1
19800822,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,9,9,1
19800823,0,0,0,0,0,0,0,1,0,0,0,0,0,9,9,9,9,1
19800824,0,0,0,0,0,0,0,1,0,0,0,0,0,9,9,9,9,1
19800825,0,0,0,0,0,0,0,1,0,0,0,0,0,9,9,9,9,1
19800826,0,0,0,0,0,1,1,1,0,0,0,0,0,9,9,9,9,0
19800827,0,0,1,1,1,1,1,1,0,0,0,0,0,9,9,9,9,0
19800828,0,0,1,1,1,1,1,1,0,0,0,1,0,9,9,9,9,0
19800829,0,0,0,0,0,1,1,1,0,0,0,1,1,9,9,9,9,0
19800830,0,0,0,0,0,0,1,1,0,0,0,0,0,9,9,9,9,0
19800831,0,0,0,0,0,0,0,1,0,0,0,1,1,9,9,9,9,0
19800901,0,0,0,0,0,0,0,1,0,0,0,0,0,9,9,9,9,1
19800902,0,0,0,0,0,0,0,1,0,0,0,0,0,9,9,9,9,1
19800903,0,0,0,0,0,0,0,1,0,0,0,0,0,9,9,9,9,1
19800904,0,0,0,0,0,0,0,1,0,0,0,0,0,9,9,9,9,1
19800905,0,0,0,0,0,0,0,1,0,0,0,0,0,9,9,9,9,1
19800906,0,0,0,0,0,0,0,1,0,0,0,0,0,9,9,9,9,1
19800907,0,0,0,0,0,0,0,1,0,0,0,0,0,9,9,9,9,1
19800908,0,0,0,0,0,0,0,1,1,1,1,0,0,9,9,9,9,0
19800909,0,0,0,0,0,0,1,1,0,0,0,0,0,9,9,9,9,0
19800910,0,0,0,0,0,0,1,1,0,0,0,0,0,9,9,9,9,0
19800911,0,0,0,0,0,0,1,1,0,1,0,1,0,9,9,9,9,0
19800912,0,0,0,0,0,0,1,1,0,0,0,1,0,9,9,9,9,0
19800913,0,0,0,0,0,0,1,1,0,0,0,1,1,9,9,9,9,0
19800914,0,0,0,0,0,0,1,1,0,0,0,0,0,9,9,9,9,0
19800915,0,1,0,0,0,0,1,1,0,1,1,1,0,9,9,9,9,0
19800916,0,1,0,0,0,0,1,1,0,1,1,0,0,9,9,9,9,0
19800917,0,1,0,1,1,1,1,1,0,1,1,0,0,9,9,9,9,0
19800918,0,1,1,1,1,1,1,1,0,0,0,1,1,9,9,9,9,0
19800919,0,0,0,0,0,1,1,1,0,0,0,1,1,9,9,9,9,0
19800920,0,0,0,0,0,0,0,1,0,0,0,1,0,9,9,9,9,0
19800921,0,0,0,0,0,0,0,1,0,0,0,0,0,9,9,9,9,1
19800922,0,0,0,0,0,0,0,1,0,1,0,0,0,9,9,9,9,0
19800923,0,0,0,0,0,0,0,1,1,1,1,0,0,9,9,9,9,0
19800924,0,0,0,0,0,0,0,1,0,1,0,0,0,9,9,9,9,0
19800925,0,0,0,0,0,0,0,1,1,1,1,0,0,9,9,9,9,0
19800926,0,1,0,0,0,0,0,1,1,1,1,0,0,9,9,9,9,0
19800927,0,1,0,0,0,0,0,1,0,1,1,0,0,9,9,9,9,0
19800928,0,1,0,0,0,0,0,1,0,1,1,0,0,9,9,9,9,0
19800929,0,0,0,0,0,0,0,1,0,1,1,0,0,9,9,9,9,0
19800930,0,0,0,0,0,0,0,1,0,1,1,0,0,9,9,9,9,0
19801001,0,0,0,0,0,0,0,1,0,1,1,0,0,9,9,9,9,0
19801002,0,0,0,0,0,0,0,1,0,1,1,0,0,9,9,9,9,0
19801003,0,0,0,0,0,0,0,1,0,0,0,0,0,9,9,9,9,1
19801004,0,0,0,0,0,0,0,1,0,0,0,0,0,9,9,9,9,1
19801005,0,0,0,0,0,0,0,1,0,0,0,0,0,9,9,9,9,1
19801006,0,0,0,0,0,0,0,1,0,0,0,0,0,9,9,9,9,1
19801007,0,0,0,0,0,0,0,1,0,0,0,0,0,9,9,9,9,1
19801008,0,0,0,0,0,0,0,1,0,0,0,0,0,9,9,9,9,1
19801009,0,0,0,0,0,0,0,1,0,0,0,0,0,9,9,9,9,1
19801010,0,1,0,0,0,0,1,1,0,0,0,0,0,9,9,9,9,0
19801011,0,1,0,0,0,1,1,1,0,1,1,0,0,9,9,9,9,0
19801012,0,1,0,0,0,1,1,1,0,0,0,0,0,9,9,9,9,0
19801013,0,0,0,0,0,0,1,1,0,0,0,0,0,9,9,9,9,0
19801014,0,0,0,0,0,0,0,1,0,1,1,0,0,9,9,9,9,0
19801015,0,0,0,0,0,0,0,1,0,0,0,0,0,9,9,9,9,1
19801016,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,9,9,1
19801017,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,9,9,1
19801018,0,0,0,0,0,0,0,0,1,0,0,0,0,9,9,9,9,0
19801019,0,0,0,0,0,0,0,0,1,1,1,0,0,9,9,9,9,0
19801020,0,0,0,0,0,0,0,0,1,1,1,0,0,9,9,9,9,0
19801021,0,0,0,0,0,0,0,0,0,1,1,0,0,9,9,9,9,0
19801022,0,0,0,0,0,0,0,1,0,1,1,0,0,9,9,9,9,0
19801023,0,0,0,0,0,0,0,1,1,0,0,0,0,9,9,9,9,0
19801024,0,0,0,0,0,0,0,1,1,0,0,0,0,9,9,9,9,0
19801025,0,0,0,0,0,0,0,1,1,1,1,0,0,9,9,9,9,0
19801026,0,0,0,0,0,0,0,1,0,1,1,0,0,9,9,9,9,0
19801027,0,0,0,0,0,0,0,1,0,1,1,0,0,9,9,9,9,0
19801028,0,0,0,0,0,0,0,1,0,1,1,0,0,9,9,9,9,0
19801029,0,0,0,0,0,0,1,1,0,0,0,0,0,9,9,9,9,0
19801030,0,0,0,0,0,0,1,1,0,1,1,0,0,9,9,9,9,0
19801031,0,0,0,0,0,0,1,1,0,1,1,0,0,9,9,9,9,0
19801101,0,0,0,0,0,0,0,1,0,1,1,0,0,9,9,9,9,0
19801102,0,0,0,0,0,0,0,1,0,1,1,0,0,9,9,9,9,0
19801103,0,0,0,0,0,0,1,1,0,0,0,0,0,9,9,9,9,0
19801104,0,0,0,0,0,0,1,1,0,0,0,0,0,9,9,9,9,0
19801105,0,1,0,0,0,1,1,1,0,1,1,0,0,9,9,9,9,0
19801106,0,1,0,1,1,1,1,1,1,1,1,0,0,9,9,9,9,0
19801107,0,0,0,0,0,1,1,1,0,1,1,0,0,9,9,9,9,0
19801108,0,0,0,0,0,0,0,1,0,1,1,0,0,9,9,9,9,0
19801109,0,0,0,0,0,0,0,0,0,1,1,0,0,9,9,9,9,0
19801110,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,9,9,1
19801111,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,9,9,1
19801112,0,0,0,0,0,0,0,1,0,1,1,0,0,9,9,9,9,0
19801113,0,0,0,0,0,0,0,1,0,1,1,0,0,9,9,9,9,0
19801114,0,0,0,0,0,0,0,1,0,0,0,0,0,9,9,9,9,1
19801115,0,0,0,0,0,0,0,1,0,0,0,0,0,9,9,9,9,1
19801116,0,0,0,0,0,0,0,1,0,1,1,0,0,9,9,9,9,0
19801117,0,0,0,0,0,0,0,0,0,1,1,0,0,9,9,9,9,0
19801118,0,0,0,0,0,0,0,0,0,1,1,0,0,9,9,9,9,0
19801119,0,0,0,0,0,0,0,0,0,1,1,0,0,9,9,9,9,0
19801120,0,0,0,0,0,0,0,0,1,0,0,0,0,9,9,9,9,0
19801121,0,0,0,0,0,0,0,0,0,1,1,0,0,9,9,9,9,0
19801122,0,0,0,0,0,0,0,0,0,1,1,0,0,9,9,9,9,0
19801123,0,0,0,0,0,0,0,0,0,1,0,0,0,9,9,9,9,0
19801124,0,0,0,0,0,0,0,0,0,1,0,0,0,9,9,9,9,0
19801125,0,0,0,0,0,0,0,0,0,1,1,0,0,9,9,9,9,0
19801126,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,9,9,1
19801127,0,0,0,0,0,0,0,0,1,0,0,0,0,9,9,9,9,0
19801128,0,0,0,0,0,0,0,0,0,1,1,0,0,9,9,9,9,0
19801129,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,9,9,1
19801130,0,0,0,0,0,0,0,0,0,1,1,0,0,9,9,9,9,0
19801201,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,9,9,1
19801202,0,0,0,0,0,0,0,0,0,1,1,0,0,9,9,9,9,0
19801203,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,9,9,1
19801204,0,0,0,0,0,0,0,0,0,1,1,0,0,9,9,9,9,0
19801205,0,0,0,0,0,0,0,0,0,1,0,0,0,9,9,9,9,0
19801206,0,0,0,0,0,0,0,0,0,1,1,0,0,9,9,9,9,0
